'14:50:03', '7300', '26.760', 'DOWN'
'14:50:00', '21100', '26.760', 'DOWN'
'14:49:57', '500', '26.760', 'DOWN'
'14:49:54', '5300', '26.760', 'UP'
'14:49:51', '53200', '26.760', 'UP'
'14:49:48', '2300', '26.760', 'UP'
'14:49:45', '4400', '26.750', 'DOWN'
'14:49:42', '700', '26.750', 'DOWN'
'14:49:39', '7200', '26.770', 'UP'
'14:49:36', '6400', '26.770', 'UP'
'14:49:33', '9000', '26.760', 'EQUAL'
'14:49:30', '9000', '26.750', 'DOWN'
'14:49:27', '100', '26.760', 'EQUAL'
'14:49:24', '1600', '26.770', 'UP'
'14:49:21', '500', '26.750', 'DOWN'
'14:49:18', '100', '26.750', 'DOWN'
'14:49:15', '3800', '26.760', 'UP'
'14:49:12', '12600', '26.750', 'DOWN'
'14:49:09', '12500', '26.750', 'DOWN'
'14:49:06', '10400', '26.760', 'UP'
'14:49:03', '6200', '26.760', 'UP'
'14:49:00', '10500', '26.750', 'DOWN'
'14:48:57', '11400', '26.760', 'UP'
'14:48:54', '6400', '26.760', 'UP'
'14:48:51', '17000', '26.760', 'UP'
'14:48:48', '1800', '26.750', 'DOWN'
'14:48:45', '6500', '26.760', 'UP'
'14:48:42', '4700', '26.760', 'UP'
'14:48:39', '3300', '26.760', 'UP'
'14:48:36', '5100', '26.750', 'DOWN'
'14:48:33', '1300', '26.750', 'DOWN'
'14:48:30', '4100', '26.760', 'UP'
'14:48:27', '21340', '26.760', 'DOWN'
'14:48:24', '200', '26.760', 'DOWN'
'14:48:21', '2100', '26.760', 'DOWN'
'14:48:18', '10600', '26.770', 'UP'
'14:48:15', '11800', '26.770', 'UP'
'14:48:12', '3600', '26.770', 'UP'
'14:48:09', '9700', '26.760', 'DOWN'
'14:48:06', '9000', '26.760', 'DOWN'
'14:48:03', '13100', '26.770', 'UP'
'14:48:00', '200', '26.760', 'DOWN'
'14:47:57', '10000', '26.770', 'UP'
'14:47:54', '38200', '26.760', 'DOWN'
'14:47:51', '1200', '26.770', 'UP'
'14:47:48', '1200', '26.770', 'UP'
'14:47:45', '100', '26.770', 'UP'
'14:47:42', '500', '26.770', 'UP'
'14:47:39', '2400', '26.760', 'DOWN'
'14:47:36', '6000', '26.770', 'UP'
'14:47:33', '11600', '26.770', 'UP'
'14:47:30', '1500', '26.760', 'DOWN'
'14:47:27', '800', '26.770', 'UP'
'14:47:24', '500', '26.770', 'UP'
'14:47:21', '4600', '26.760', 'DOWN'
'14:47:18', '900', '26.760', 'DOWN'
'14:47:15', '100', '26.760', 'DOWN'
'14:47:12', '700', '26.770', 'UP'
'14:47:09', '4900', '26.760', 'DOWN'
'14:47:06', '900', '26.760', 'DOWN'
'14:47:03', '12000', '26.760', 'DOWN'
'14:47:00', '1000', '26.770', 'UP'
'14:46:57', '1400', '26.760', 'DOWN'
'14:46:54', '17400', '26.770', 'UP'
'14:46:51', '31300', '26.770', 'DOWN'
'14:46:48', '3400', '26.770', 'DOWN'
'14:46:45', '1000', '26.780', 'UP'
'14:46:39', '1900', '26.770', 'DOWN'
'14:46:36', '500', '26.770', 'DOWN'
'14:46:30', '800', '26.770', 'DOWN'
'14:46:27', '1000', '26.780', 'UP'
'14:46:24', '300', '26.780', 'UP'
'14:46:21', '3100', '26.770', 'DOWN'
'14:46:18', '2700', '26.770', 'DOWN'
'14:46:15', '100', '26.780', 'UP'
'14:46:12', '1400', '26.780', 'UP'
'14:46:09', '5600', '26.780', 'UP'
'14:46:06', '2300', '26.780', 'UP'
'14:46:03', '600', '26.780', 'UP'
'14:46:00', '16200', '26.780', 'DOWN'
'14:45:57', '200', '26.780', 'DOWN'
'14:45:54', '800', '26.790', 'UP'
'14:45:51', '6500', '26.790', 'UP'
'14:45:48', '100', '26.780', 'DOWN'
'14:45:45', '3000', '26.780', 'DOWN'
'14:45:42', '4300', '26.780', 'DOWN'
'14:45:39', '3100', '26.790', 'UP'
'14:45:36', '16700', '26.790', 'UP'
'14:45:33', '50900', '26.780', 'DOWN'
'14:45:30', '1300', '26.790', 'UP'
'14:45:27', '4900', '26.780', 'DOWN'
'14:45:24', '1000', '26.790', 'UP'
'14:45:21', '1700', '26.780', 'DOWN'
'14:45:18', '21600', '26.780', 'DOWN'
'14:45:15', '700', '26.780', 'DOWN'
'14:45:12', '1780', '26.780', 'DOWN'
'14:45:09', '1300', '26.780', 'DOWN'
'14:45:06', '11000', '26.780', 'DOWN'
'14:45:03', '19000', '26.780', 'DOWN'
'14:45:00', '3300', '26.780', 'DOWN'
'14:44:57', '1300', '26.780', 'DOWN'
'14:44:54', '4400', '26.780', 'DOWN'
'14:44:51', '400', '26.790', 'UP'
'14:44:48', '2300', '26.780', 'DOWN'
'14:44:45', '6100', '26.780', 'DOWN'
'14:44:42', '500', '26.780', 'DOWN'
'14:44:39', '700', '26.780', 'DOWN'
'14:44:36', '700', '26.790', 'UP'
'14:44:33', '3900', '26.790', 'UP'
'14:44:30', '1000', '26.780', 'DOWN'
'14:44:27', '8200', '26.790', 'UP'
'14:44:24', '100', '26.780', 'DOWN'
'14:44:21', '7100', '26.790', 'UP'
'14:44:18', '22300', '26.780', 'DOWN'
'14:44:15', '300', '26.790', 'UP'
'14:44:12', '600', '26.790', 'UP'
'14:44:09', '1400', '26.780', 'DOWN'
