上证50
上证50选取的是沪市中规模大、流动性最好的50只股票，也就是我们常说的“漂亮50”。
这是一个极不均匀的指数，行业的集中度非常高。从上图可以明显看出，金融股占据了62%的比重。银行、保险、证券成为了指数的三大巨头。当然有利必有弊，上证50常被人诟病的地方也在这，它的走势很容易被金融板块绑架。但不得不说，上证50是一个波动比较小，资产质量比较好的指数。

序号	股票代码	股票简称	最新价(元)	相关资料	主营行业	地区	权重(%)	每股收益(元)	每股净资产(元)	净资产收益率(%)	总股本(亿股)	流通股本(亿股)	流通市值(亿元)
142	600309	万华化学	51.91	股吧 行情 档案 资讯	基础化工	烟台市	0.61	2.52	12.85	21.31	31.40	14.24	739.07
143	600299	安迪苏	10.87	股吧 行情 档案 资讯	医药生物	北京市	0.02	0.30	5.16	5.92	26.82	26.82	291.52
144	600297	广汇汽车	3.69	股吧 行情 档案 资讯	交运设备	大连市	0.09	0.27	4.63	6.01	81.60	81.10	299.27
145	600276	恒瑞医药	87.99	股吧 行情 档案 资讯	医药生物	连云港市	2.01	0.84	5.23	17.42	44.23	44.11	3881.19
146	600271	航天信息	22.90	股吧 行情 档案 资讯	信息技术	北京市	0.19	0.61	5.97	10.10	18.63	18.53	424.29
147	600233	圆通速递	13.96	股吧 行情 档案 资讯	交通运输	大连市	0.06	0.49	4.21	11.42	28.43	28.36	395.87
148	600221	海航控股	1.67	股吧 行情 档案 资讯	交通运输	海口市	0.14	0.04	2.88	1.14	168.06	168.05	274.48
149	600219	南山铝业	2.24	股吧 行情 档案 资讯	有色金属	烟台市	0.12	0.11	3.26	3.27	119.50	97.87	219.24
150	600208	新湖中宝	3.51	股吧 行情 档案 资讯	房地产	嘉兴市	0.11	0.29	4.11	7.12	85.99	85.98	301.80
151	600196	复星医药	26.18	股吧 行情 档案 资讯	医药生物	上海市	0.20	0.81	11.95	7.04	25.63	25.63	526.47
152	600188	兖州煤业	9.68	股吧 行情 档案 资讯	能源	济宁市	0.06	1.42	11.47	10.95	49.12	49.12	286.52
153	600183	生益科技	24.32	股吧 行情 档案 资讯	电子设备	东莞市	0.21	0.48	3.65	14.16	22.76	22.76	553.57
154	600177	雅戈尔	6.92	股吧 行情 档案 资讯	房地产	宁波市	0.18	0.62	5.38	11.16	50.14	50.14	346.97
155	600176	中国巨石	10.00	股吧 行情 档案 资讯	基础化工	嘉兴市	0.16	0.44	4.31	10.55	35.02	35.02	350.23
156	600170	上海建工	3.38	股吧 行情 档案 资讯	建筑	上海市	0.11	0.28	2.91	8.57	89.04	84.87	286.86
157	600153	建发股份	8.57	股吧 行情 档案 资讯	交通运输	厦门市	0.09	0.64	9.87	6.57	28.35	28.35	242.98
158	600118	中国卫星	29.48	股吧 行情 档案 资讯	交运设备	北京市	0.12	0.22	4.73	4.79	11.82	11.82	348.60
159	600115	东方航空	5.10	股吧 行情 档案 资讯	交通运输	上海市	0.17	0.29	4.15	7.06	163.80	144.68	500.23
160	600111	北方稀土	10.14	股吧 行情 档案 资讯	有色金属	包头市	0.17	0.13	2.63	4.92	36.33	36.33	368.39
161	600109	国金证券	8.83	股吧 行情 档案 资讯	金融	成都市	0.16	0.29	6.72	4.41	30.24	30.24	267.05
162	600104	上汽集团	22.61	股吧 行情 档案 资讯	交运设备	上海市	0.58	1.78	20.94	8.68	116.83	116.83	2641.63
163	600100	同方股份	8.81	股吧 行情 档案 资讯	信息技术	北京市	0.16	0.24	5.60	4.32	29.64	29.64	261.12
164	600089	特变电工	6.36	股吧 行情 档案 资讯	电气设备	昌吉回族自治州	0.17	0.45	8.15	4.94	37.14	37.14	236.23
165	600085	同仁堂	27.35	股吧 行情 档案 资讯	医药生物	北京市	0.11	0.62	7.14	8.92	13.71	13.71	375.10
166	600068	葛洲坝	6.29	股吧 行情 档案 资讯	建筑	武汉市	0.13	0.58	6.29	7.25	46.05	46.05	289.64
167	600066	宇通客车	15.78	股吧 行情 档案 资讯	交运设备	郑州市	0.16	0.60	7.18	7.90	22.14	22.14	349.36
168	600061	国投资本	13.96	股吧 行情 档案 资讯	金融	上海市	0.18	0.58	9.16	6.54	42.27	41.74	582.67
169	600050	中国联通	5.65	股吧 行情 档案 资讯	信息技术	北京市	0.39	0.14	4.60	3.05	310.34	211.97	1197.61
170	600048	保利地产	15.33	股吧 行情 档案 资讯	房地产	广州市	0.82	1.08	10.22	10.25	119.33	119.33	1829.28
171	600038	中直股份	44.43	股吧 行情 档案 资讯	交运设备	哈尔滨市	0.10	0.69	13.56	5.15	5.89	5.89	261.90
172	600036	招商银行	36.81	股吧 行情 档案 资讯	金融	深圳市	2.80	3.05	22.30	13.59	252.20	252.20	7593.51
173	600031	三一重工	16.03	股吧 行情 档案 资讯	机械设备	北京市	0.72	1.12	5.03	24.82	84.26	84.21	1349.90
174	600030	中信证券	23.90	股吧 行情 档案 资讯	金融	深圳市	1.43	0.87	13.21	6.72	121.17	120.93	2345.70
175	600029	南方航空	6.43	股吧 行情 档案 资讯	交通运输	广州市	0.21	0.33	5.32	6.26	122.67	111.77	521.57
176	600028	中国石化	4.94	股吧 行情 档案 资讯	能源	北京市	0.48	0.36	6.00	5.99	1210.71	1210.71	4720.55
177	600027	华电国际	3.54	股吧 行情 档案 资讯	公用事业	济南市	0.08	0.22	4.51	4.55	98.63	87.13	247.65
178	600025	华能水电	3.96	股吧 行情 档案 资讯	公用事业	昆明市	0.05	0.27	2.58	10.28	180.00	89.28	353.55
179	600023	浙能电力	3.75	股吧 行情 档案 资讯	公用事业	杭州市	0.11	0.27	4.64	5.84	136.01	136.01	510.03
180	600019	宝钢股份	5.43	股吧 行情 档案 资讯	钢铁	上海市	0.36	0.40	7.84	5.05	222.74	221.56	1203.07
181	600018	上港集团	5.20	股吧 行情 档案 资讯	交通运输	上海市	0.18	0.39	3.55	11.41	231.74	231.74	1205.03
182	600016	民生银行	6.08	股吧 行情 档案 资讯	金融	北京市	1.12	1.04	10.09	9.99	437.82	437.82	2156.10
183	600015	华夏银行	7.40	股吧 行情 档案 资讯	金融	北京市	0.33	0.94	13.09	6.37	153.87	128.23	948.88
184	600011	华能国际	5.41	股吧 行情 档案 资讯	公用事业	北京市	0.17	0.32	4.93	6.21	156.98	156.98	594.98
185	600010	包钢股份	1.25	股吧 行情 档案 资讯	钢铁	包头市	0.21	0.03	1.18	2.24	455.85	316.77	395.97
186	600009	上海机场	68.98	股吧 行情 档案 资讯	交通运输	上海市	0.49	2.07	16.07	13.49	19.27	10.93	754.28
187	600004	白云机场	15.34	股吧 行情 档案 资讯	交通运输	广州市	0.12	0.28	7.66	3.64	20.69	20.69	317.43
188	600000	浦发银行	11.35	股吧 行情 档案 资讯	金融	上海市	0.99	1.62	16.36	9.56	293.52	281.04	3189.78
189	300498	温氏股份	32.68	股吧 行情 档案 资讯	农林牧渔	云浮市	0.92	1.16	7.00	16.96	53.12	40.21	1314.04
190	300433	蓝思科技	20.68	股吧 行情 档案 资讯	电子设备	长沙市	0.20	0.28	4.36	6.32	42.51	42.35	875.85
191	300413	芒果超媒	45.99	股吧 行情 档案 资讯	商贸零售	长沙市	0.17	0.56	8.21	13.69	17.80	8.34	383.57
192	300408	三环集团	23.21	股吧 行情 档案 资讯	电子设备	潮州市	0.18	0.39	4.19	9.34	17.43	16.56	384.33
193	300347	泰格医药	73.26	股吧 行情 档案 资讯	医药生物	杭州市	0.28	0.70	5.15	16.17	7.50	5.29	387.38
194	300144	宋城演艺	26.94	股吧 行情 档案 资讯	餐饮旅游	杭州市	0.18	0.87	6.83	13.81	14.53	11.76	316.75
195	300142	沃森生物	28.22	股吧 行情 档案 资讯	医药生物	昆明市	0.26	0.08	3.14	2.56	15.37	14.55	410.46
196	300136	信维通信	44.00	股吧 行情 档案 资讯	电子设备	深圳市	0.26	0.85	4.65	20.23	9.69	8.11	356.78
197	300124	汇川技术	29.25	股吧 行情 档案 资讯	电气设备	深圳市	0.22	0.39	4.06	9.95	17.32	13.81	404.07
198	300122	智飞生物	59.59	股吧 行情 档案 资讯	医药生物	重庆市	0.21	1.10	3.21	37.81	16.00	8.76	521.87
199	300070	碧水源	8.57	股吧 行情 档案 资讯	公用事业	北京市	0.12	0.11	6.03	1.91	31.65	21.81	186.93
200	300059	东方财富	15.08	股吧 行情 档案 资讯	文化传媒	上海市	0.61	0.21	3.09	7.65	67.16	54.35	819.66
201	300033	同花顺	109.05	股吧 行情 档案 资讯	信息技术	杭州市	0.17	0.85	6.61	13.30	5.38	2.69	293.22
202	300024	机器人	15.13	股吧 行情 档案 资讯	机械设备	沈阳市	0.12	0.18	4.12	4.54	15.60	15.14	229.01
203	300017	网宿科技	8.20	股吧 行情 档案 资讯	信息技术	上海市	0.12	0.32	3.86	8.56	24.34	21.76	178.44
204	300015	爱尔眼科	40.00	股吧 行情 档案 资讯	医药生物	长沙市	0.38	0.40	2.08	20.28	30.98	25.13	1005.09
205	300003	乐普医疗	31.91	股吧 行情 档案 资讯	医药生物	北京市	0.25	0.91	4.19	23.32	17.82	15.12	482.38
206	002958	青农商行	5.91	股吧 行情 档案 资讯		青岛市	0.03	0.44	4.29	10.64	55.56	5.56	32.83
207	002945	华林证券	14.60	股吧 行情 档案 资讯		拉萨市	0.03	0.11	1.93	6.59	27.00	7.55	110.20
208	002939	长城证券	13.65	股吧 行情 档案 资讯	金融	深圳市	0.03	0.24	5.37	4.48	31.03	16.64	227.16
209	002938	鹏鼎控股	49.98	股吧 行情 档案 资讯		深圳市	0.09	0.74	8.03	9.34	23.11	2.31	115.53
210	002916	深南电路	177.49	股吧 行情 档案 资讯	电子设备	深圳市	0.14	2.58	13.00	21.33	3.39	0.99	175.22
211	002841	视源股份	83.37	股吧 行情 档案 资讯	电子设备	广州市	0.04	2.19	6.89	34.98	6.56	3.66	305.10
212	002773	康弘药业	38.25	股吧 行情 档案 资讯	医药生物	成都市	0.07	0.63	5.10	12.93	8.76	6.21	237.63
213	002739	万达电影	17.29	股吧 行情 档案 资讯	文化传媒	北京市	0.11	0.44	9.39	5.17	20.78	17.61	304.51
214	002736	国信证券	12.30	股吧 行情 档案 资讯	金融	深圳市	0.23	0.44	6.09	6.96	82.00	82.00	1008.60
215	002714	牧原股份	81.68	股吧 行情 档案 资讯	农林牧渔	南阳市	0.53	0.66	7.44	8.99	22.05	11.67	953.20
216	002673	西部证券	9.25	股吧 行情 档案 资讯	金融	西安市	0.12	0.15	5.04	2.98	35.02	35.02	323.92
217	002624	完美世界	47.49	股吧 行情 档案 资讯	文化传媒	湖州市	0.17	1.14	7.38	16.42	12.93	11.60	550.86
218	002607	中公教育	16.76	股吧 行情 档案 资讯	交运设备	芜湖市	0.09	0.16	0.41	34.94	61.67	6.67	111.83
219	002602	世纪华通	12.70	股吧 行情 档案 资讯	交运设备	绍兴市	0.22	0.34	4.02	10.63	59.56	25.92	329.23
220	002601	龙蟒佰利	16.19	股吧 行情 档案 资讯	基础化工	焦作市	0.12	1.04	6.70	15.87	20.32	20.27	328.20
221	002594	比亚迪	59.83	股吧 行情 档案 资讯	交运设备	深圳市	0.39	0.51	19.22	2.81	27.28	20.56	682.46
222	002558	巨人网络	18.10	股吧 行情 档案 资讯	餐饮旅游	重庆市	0.08	0.36	4.03	8.35	20.24	20.24	366.41
223	002555	三七互娱	32.41	股吧 行情 档案 资讯	文化传媒	芜湖市	0.23	0.74	3.09	24.90	21.12	13.48	436.81
224	002508	老板电器	32.82	股吧 行情 档案 资讯	家电	杭州市	0.12	1.14	6.72	17.48	9.49	9.35	306.83
225	002493	荣盛石化	11.50	股吧 行情 档案 资讯	基础化工	杭州市	0.16	0.29	3.53	8.56	62.91	58.16	668.87
226	002475	立讯精密	45.15	股吧 行情 档案 资讯	电子设备	深圳市	1.09	0.54	3.42	17.08	53.49	53.44	2412.65
227	002468	申通快递	19.01	股吧 行情 档案 资讯	交通运输	台州市	0.04	0.72	5.77	12.76	15.31	15.31	291.01
228	002466	天齐锂业	30.82	股吧 行情 档案 资讯	有色金属	遂宁市	0.21	0.12	8.90	1.37	14.77	14.77	455.24
229	002460	赣锋锂业	43.37	股吧 行情 档案 资讯	有色金属	新余市	0.24	0.25	6.12	4.10	12.93	9.86	340.99
230	002456	欧菲光	17.92	股吧 行情 档案 资讯	电子设备	深圳市	0.26	0.07	3.22	2.08	27.13	26.68	478.11
231	002422	科伦药业	25.00	股吧 行情 档案 资讯	医药生物	成都市	0.16	0.64	9.31	6.99	14.40	10.33	258.36
232	002415	海康威视	36.00	股吧 行情 档案 资讯	信息技术	杭州市	0.98	0.86	4.33	20.58	93.45	80.90	2912.50
233	002411	延安必康	12.39	股吧 行情 档案 资讯	医药生物	延安市	0.06	0.32	6.51	5.04	15.32	14.26	176.74
234	002410	广联达	40.00	股吧 行情 档案 资讯	信息技术	北京市	0.20	0.14	2.76	5.03	11.28	8.91	356.31
235	002352	顺丰控股	39.22	股吧 行情 档案 资讯	机械设备	深圳市	0.24	0.98	9.00	11.30	44.15	43.46	1704.38
236	002311	海大集团	34.05	股吧 行情 档案 资讯	农林牧渔	广州市	0.20	0.90	5.61	17.01	15.80	15.53	528.96
237	002304	洋河股份	107.16	股吧 行情 档案 资讯	食品饮料	宿迁市	0.48	4.74	24.07	20.44	15.07	12.49	1338.36
238	002294	信立泰	18.56	股吧 行情 档案 资讯	医药生物	深圳市	0.06	0.69	6.26	10.86	10.46	10.46	194.11
239	002271	东方雨虹	27.17	股吧 行情 档案 资讯	建材	北京市	0.18	1.05	5.89	18.31	14.88	9.91	269.15
240	002252	上海莱士	8.01	股吧 行情 档案 资讯	医药生物	上海市	0.11	0.12	2.31	5.42	49.75	49.72	398.29
241	002241	歌尔股份	23.61	股吧 行情 档案 资讯	电子设备	潍坊市	0.40	0.31	4.90	6.33	32.45	27.66	652.97
242	002236	大华股份	20.12	股吧 行情 档案 资讯	信息技术	杭州市	0.28	0.64	4.71	14.04	30.08	18.14	364.90
243	002230	科大讯飞	35.19	股吧 行情 档案 资讯	信息技术	合肥市	0.41	0.18	5.10	3.90	21.99	18.51	651.26
244	002202	金风科技	11.77	股吧 行情 档案 资讯	电气设备	乌鲁木齐市	0.24	0.37	6.59	5.81	42.25	41.61	398.64
245	002179	中航光电	37.37	股吧 行情 档案 资讯	电子设备	洛阳市	0.15	0.80	6.89	12.40	11.01	10.62	396.88
246	002153	石基信息	37.56	股吧 行情 档案 资讯	信息技术	北京市	0.09	0.30	8.01	3.81	10.68	4.86	182.39
247	002146	荣盛发展	9.06	股吧 行情 档案 资讯	房地产	廊坊市	0.12	1.12	8.44	13.91	43.48	38.94	352.76
248	002142	宁波银行	26.93	股吧 行情 档案 资讯	金融	宁波市	0.56	2.02	14.67	12.02	56.28	56.22	1513.89
249	002120	韵达股份	29.66	股吧 行情 档案 资讯	交通运输	宁波市	0.15	0.88	5.73	16.14	22.26	21.50	637.66
250	002081	金螳螂	8.68	股吧 行情 档案 资讯	建筑	苏州市	0.11	0.65	5.43	12.61	26.84	25.96	225.35
251	002050	三花智控	20.80	股吧 行情 档案 资讯	家电	绍兴市	0.21	0.38	3.25	12.01	27.66	24.19	503.09
252	002044	美年健康	14.07	股吧 行情 档案 资讯	医药生物	南通市	0.29	0.10	1.73	6.00	39.20	33.91	477.16
253	002032	苏泊尔	70.62	股吧 行情 档案 资讯	家电	台州市	0.09	1.53	7.76	20.34	8.21	6.11	431.35
254	002027	分众传媒	5.88	股吧 行情 档案 资讯	文化传媒	广州市	0.46	0.09	0.92	9.83	146.78	146.78	863.06
255	002024	苏宁易购	10.00	股吧 行情 档案 资讯	商贸零售	南京市	0.27	1.30	9.77	13.85	93.10	77.75	777.52
256	002010	传化智联	7.10	股吧 行情 档案 资讯	基础化工	杭州市	0.07	0.25	4.02	6.55	32.58	31.83	225.97
257	002008	大族激光	43.46	股吧 行情 档案 资讯	电子设备	深圳市	0.28	0.57	7.66	7.04	10.67	9.93	431.73
258	002007	华兰生物	36.09	股吧 行情 档案 资讯	医药生物	新乡市	0.22	0.69	4.44	16.41	14.03	12.04	434.38
259	002001	新和成	23.57	股吧 行情 档案 资讯	医药生物	绍兴市	0.22	0.79	7.63	10.48	21.49	21.21	500.03
260	001979	招商蛇口	18.13	股吧 行情 档案 资讯	房地产	深圳市	0.42	0.60	8.24	6.69	79.14	79.14	1434.74
261	000963	华东医药	20.85	股吧 行情 档案 资讯	医药生物	杭州市	0.13	1.26	6.66	20.49	17.50	17.50	364.83
262	000961	中南建设	9.29	股吧 行情 档案 资讯	房地产	南通市	0.13	0.61	5.29	12.20	37.28	37.18	345.37
263	000938	紫光股份	33.06	股吧 行情 档案 资讯	信息技术	北京市	0.20	0.61	13.51	4.59	20.43	20.43	675.39
264	000898	鞍钢股份	3.03	股吧 行情 档案 资讯	钢铁	鞍山市	0.05	0.18	5.54	3.31	94.05	94.05	242.21
265	000895	双汇发展	29.26	股吧 行情 档案 资讯	食品饮料	漯河市	0.22	1.19	4.58	28.00	33.19	8.83	258.24
266	000876	新希望	18.14	股吧 行情 档案 资讯	农林牧渔	绵阳市	0.29	0.74	5.71	13.46	42.16	42.00	761.80
267	000858	五粮液	126.16	股吧 行情 档案 资讯	食品饮料	宜宾市	1.84	3.23	17.89	18.87	38.82	37.96	4788.74
268	000786	北新建材	25.75	股吧 行情 档案 资讯	建材	北京市	0.16	-0.01	7.99	-0.08	16.90	16.90	435.05
269	000783	长江证券	6.88	股吧 行情 档案 资讯	金融	武汉市	0.20	0.26	4.86	5.38	55.30	55.29	380.43
270	000776	广发证券	14.81	股吧 行情 档案 资讯	金融	广州市	0.33	0.74	12.00	6.37	76.21	76.21	876.65
271	000768	中航飞机	16.64	股吧 行情 档案 资讯	交运设备	西安市	0.17	0.12	5.91	2.12	27.69	27.69	460.70
272	000728	国元证券	8.69	股吧 行情 档案 资讯	金融	合肥市	0.13	0.21	7.40	2.82	33.65	29.46	256.02
273	000725	京东方A	4.72	股吧 行情 档案 资讯	电子设备	北京市	0.84	0.05	2.49	2.15	347.98	347.96	1598.18
274	000723	美锦能源	7.79	股吧 行情 档案 资讯	能源	太原市	0.07	0.20	1.95	10.91	40.99	37.76	294.15
275	000709	河钢股份	2.41	股吧 行情 档案 资讯	钢铁	石家庄市	0.08	0.14	4.49	3.18	106.19	106.17	255.87
276	000703	恒逸石化	13.72	股吧 行情 档案 资讯	基础化工	北海市	0.12	0.78	7.83	11.05	28.42	23.31	319.80
277	000671	阳光城	7.17	股吧 行情 档案 资讯	房地产	福州市	0.09	0.49	4.89	9.43	40.83	40.05	287.13
278	000661	长春高新	498.00	股吧 行情 档案 资讯	医药生物	长春市	0.52	7.29	37.70	21.19	2.02	1.70	846.66
279	000656	金科股份	7.14	股吧 行情 档案 资讯	房地产	重庆市	0.11	0.74	4.61	16.66	53.40	52.47	374.65
280	000651	格力电器	63.94	股吧 行情 档案 资讯	家电	珠海市	2.31	3.68	16.75	23.02	60.16	59.70	3817.17
281	000630	铜陵有色	2.21	股吧 行情 档案 资讯	有色金属	铜陵市	0.10	0.07	1.72	3.85	105.27	105.26	232.63
282	000629	攀钢钒钛	2.62	股吧 行情 档案 资讯	钢铁	攀枝花市	0.08	0.16	1.10	16.74	85.90	47.67	124.90
283	000627	天茂集团	6.48	股吧 行情 档案 资讯	金融	荆门市	0.10	0.21	4.11	5.17	49.41	43.03	278.84
284	000625	长安汽车	9.88	股吧 行情 档案 资讯	交运设备	重庆市	0.15	-0.55	9.07	-5.93	48.03	48.03	385.38
285	000596	古井贡酒	143.20	股吧 行情 档案 资讯	食品饮料	亳州市	0.12	3.46	17.05	21.51	5.04	5.04	549.32
286	000568	泸州老窖	82.65	股吧 行情 档案 资讯	食品饮料	泸州市	0.46	2.59	12.67	21.37	14.65	14.60	1206.78
287	000538	云南白药	86.60	股吧 行情 档案 资讯	医药生物	昆明市	0.32	2.77	29.29	12.38	12.77	5.99	51
288	000425	徐工机械	5.19	股吧 行情 档案 资讯	机械设备	徐州市	0.18	0.36	3.56	9.64	78.34	69.95	363.04
289	000423	东阿阿胶	34.13	股吧 行情 档案 资讯	医药生物	聊城市	0.12	0.32	16.25	1.91	6.54	6.54	223.16
290	000415	渤海租赁	3.46	股吧 行情 档案 资讯	金融	乌鲁木齐市	0.05	0.34	6.21	5.61	61.85	35.47	122.74
291	000413	东旭光电	3.05	股吧 行情 档案 资讯	电子设备	石家庄市	0.10	0.20	5.81	3.45	57.30	51.14	148.36
292	000338	潍柴动力	13.53	股吧 行情 档案 资讯	交运设备	潍坊市	0.49	0.89	5.40	17.18	79.34	61.88	574.35
293	000333	美的集团	55.10	股吧 行情 档案 资讯	家电	佛山市	2.01	3.20	14.11	23.51	69.77	68.11	3753.05
294	000166	申万宏源	4.82	股吧 行情 档案 资讯	金融	乌鲁木齐市	0.32	0.20	3.28	6.28	250.40	250.38	1086.16
295	000157	中联重科	6.30	股吧 行情 档案 资讯	机械设备	长沙市	0.25	0.44	4.82	9.15	78.73	78.06	404.30
296	000100	TCL集团	5.06	股吧 行情 档案 资讯	家电	惠州市	0.50	0.19	2.24	8.46	135.28	126.99	642.57
297	000069	华侨城A	7.08	股吧 行情 档案 资讯	房地产	深圳市	0.22	0.73	7.60	9.88	82.03	70.36	498.16
298	000063	中兴通讯	39.17	股吧 行情 档案 资讯	信息技术	深圳市	0.70	0.98	6.57	16.30	42.28	42.24	1358.80
299	000002	万科A	28.98	股吧 行情 档案 资讯	房地产	深圳市	1.26	1.63	14.80	11.29	113.02	112.93	2815.46
300	000001	平安银行	15.54	股吧 行情 档案 资讯	金融	深圳市	1.12	1.32	13.82	8.95	194.06	194.06	3015.65



中证500指数：小花旦
中证500指数主攻沪深两市小盘股，样本股是全部A股剔除沪深300成分股以及总市值排名前300名的股票后，总市值靠前的500只股票，反映沪深两个市场中小市值公司整体状况的指数。
从中证500的行业分布来看，这个多彩的调色盘色块分布还是比较均衡、平均的。占比最大的行业有工业和信息技术、原材料等。

1	600745	闻泰科技	125.00	股吧 行情 档案 资讯	电子设备	黄石市	0.97	0.83	6.07	13.77	11.24	6.37	796.58
2	002384	东山精密	28.70	股吧 行情 档案 资讯	机械设备	苏州市	0.78	0.55	5.67	10.14	16.07	12.23	350.91
3	002371	北方华创	118.50	股吧 行情 档案 资讯	电子设备	北京市	0.68	0.48	8.17	6.02	4.91	4.58	542.61
4	300088	长信科技	12.67	股吧 行情 档案 资讯	电子设备	芜湖市	0.68	0.31	2.31	13.71	24.32	23.95	303.40
5	300014	亿纬锂能	60.30	股吧 行情 档案 资讯	电气设备	惠州市	0.67	1.26	7.42	21.55	9.69	8.19	493.93
6	002463	沪电股份	23.97	股吧 行情 档案 资讯	电子设备	苏州市	0.66	0.50	2.77	19.39	17.25	16.88	404.68
7	600584	长电科技	26.24	股吧 行情 档案 资讯	电子设备	无锡市	0.64	-0.11	7.68	-1.48	16.03	9.85	258.35
8	002065	东华软件	13.92	股吧 行情 档案 资讯	信息技术	北京市	0.61	0.24	3.08	8.02	31.15	28.08	390.81
9	002129	中环股份	15.68	股吧 行情 档案 资讯	电子设备	天津市	0.60	0.25	4.71	5.16	27.85	26.83	420.74
10	300207	欣旺达	24.30	股吧 行情 档案 资讯	电子设备	深圳市	0.59	0.32	3.56	9.23	15.69	13.86	336.76
11	000066	中国长城	14.18	股吧 行情 档案 资讯	信息技术	深圳市	0.58	0.06	2.14	2.83	29.28	24.91	353.18
12	002439	启明星辰	39.19	股吧 行情 档案 资讯	信息技术	北京市	0.55	0.11	3.97	2.64	8.97	6.75	264.43
13	601099	太平洋	3.52	股吧 行情 档案 资讯	金融	昆明市	0.55	0.06	1.50	3.90	68.16	68.16	239.93
14	002049	紫光国微	55.84	股吧 行情 档案 资讯	电子设备	唐山市	0.55	0.60	6.84	9.19	6.07	6.06	338.52
15	002812	恩捷股份	59.10	股吧 行情 档案 资讯	轻工制造	玉溪市	0.55	0.78	5.35	15.53	8.05	5.21	307.98
16	002340	格林美	5.77	股吧 行情 档案 资讯	有色金属	深圳市	0.54	0.15	2.49	5.98	41.50	41.25	238.00
17	300383	光环新网	21.20	股吧 行情 档案 资讯	信息技术	北京市	0.52	0.40	5.27	7.82	15.42	14.87	315.33
18	601128	常熟银行	8.34	股吧 行情 档案 资讯	金融	苏州市	0.52	0.54	5.91	9.44	27.41	25.75	214.76
19	600201	生物股份	20.16	股吧 行情 档案 资讯	农林牧渔	呼和浩特市	0.51	0.22	4.25	5.06	11.26	11.26	227.05
20	600536	中国软件	72.30	股吧 行情 档案 资讯	信息技术	北京市	0.51	-0.50	3.89	-11.91	4.95	4.95	357.57
21	002465	海格通信	11.92	股吧 行情 档案 资讯	信息技术	广州市	0.50	0.13	3.67	3.69	23.05	21.50	256.22
22	600426	华鲁恒升	18.21	股吧 行情 档案 资讯	基础化工	德州市	0.50	1.18	8.41	14.86	16.27	16.20	295.06
23	002180	纳思达	39.00	股吧 行情 档案 资讯	电子设备	珠海市	0.48	0.67	5.25	13.15	10.63	10.02	390.89
24	002821	凯莱英	152.01	股吧 行情 档案 资讯	医药生物	天津市	0.48	1.60	12.34	13.66	2.31	2.29	347.85
25	300253	卫宁健康	15.93	股吧 行情 档案 资讯	信息技术	上海市	0.48	0.17	2.15	8.20	16.41	13.20	210.22
26	300012	华测检测	16.20	股吧 行情 档案 资讯	综合	深圳市	0.47	0.22	1.83	12.54	16.58	15.06	243.90
27	600739	辽宁成大	16.33	股吧 行情 档案 资讯	商贸零售	大连市	0.46	0.68	14.06	5.02	15.30	15.30	249.80
28	600763	通策医疗	102.50	股吧 行情 档案 资讯	医药生物	杭州市	0.45	1.25	5.40	26.24	3.21	3.21	328.66
29	002273	水晶光电	16.63	股吧 行情 档案 资讯	电子设备	台州市	0.45	0.32	3.55	8.91	11.56	11.17	185.75
30	000988	华工科技	22.12	股吧 行情 档案 资讯	电子设备	武汉市	0.43	0.46	6.05	7.86	10.06	10.05	222.35
31	002353	杰瑞股份	36.98	股吧 行情 档案 资讯	机械设备	烟台市	0.42	0.94	9.69	10.23	9.58	6.66	246.30
32	002127	南极电商	10.26	股吧 行情 档案 资讯	文化传媒	苏州市	0.42	0.25	1.73	15.07	24.55	18.96	194.55
33	000750	国海证券	4.65	股吧 行情 档案 资讯	金融	桂林市	0.41	0.14	3.34	4.21	54.45	54.45	253.17
34	002074	国轩高科	24.95	股吧 行情 档案 资讯	电气设备	南通市	0.40	0.51	7.89	6.61	11.37	10.12	252.42
35	600699	均胜电子	21.73	股吧 行情 档案 资讯	交运设备	宁波市	0.39	0.74	10.08	5.50	12.37	12.37	268.86
36	002373	千方科技	22.71	股吧 行情 档案 资讯	信息技术	北京市	0.39	0.40	5.74	7.17	14.91	9.53	216.52
37	000998	隆平高科	17.97	股吧 行情 档案 资讯	农林牧渔	长沙市	0.39	-0.21	4.71	-4.12	13.17	9.65	173.45
38	000050	深天马A	16.54	股吧 行情 档案 资讯	电子设备	深圳市	0.39	0.50	13.15	3.91	20.48	18.29	302.49
39	300285	国瓷材料	24.55	股吧 行情 档案 资讯	基础化工	东营市	0.38	0.37	3.64	10.67	9.63	7.07	173.64
40	300315	掌趣科技	6.11	股吧 行情 档案 资讯	文化传媒	北京市	0.38	0.13	2.04	6.41	27.57	26.00	158.88
41	000009	中国宝安	6.48	股吧 行情 档案 资讯	综合	深圳市	0.37	0.08	2.09	3.77	25.79	25.44	164.84
42	300529	健帆生物	80.78	股吧 行情 档案 资讯	医药生物	珠海市	0.37	1.01	4.71	22.76	4.19	2.30	185.41
43	002797	第一创业	7.70	股吧 行情 档案 资讯	金融	深圳市	0.37	0.10	2.53	3.92	35.02	35.02	269.68
44	600143	金发科技	9.19	股吧 行情 档案 资讯	基础化工	广州市	0.37	0.36	3.77	9.23	25.74	25.74	236.52
