symbol,name,mktcap,nmc,turnoverratio
SZ000793,华闻集团,894765.964736,870311.46944,12.96574
SZ002142,宁波银行,15392537.724732,14400514.459086,0.7816
SZ300485,赛升药业,1090341.832,559215.1762,20.02258
SZ000876,新 希 望,12268603.67619,12256145.26779,0.91107
SZ000021,深科技,3433919.353242,3429409.367376,3.21994
SZ000564,供销大集,2901781.035573,968847.734673,11.34653
SH600415,小商品城,3037313.510208,3037313.510208,3.60339
SZ000936,华西股份,1187257.26858,1186402.01626,9.22222
SZ002050,三花智控,7611536.527582,6623341.384023,1.6513
SH600196,复星医药,8621590.70538,6764862.86338,1.61016
SH601881,中国银河,10644121.69485,6768587.8302,1.59093
SZ002230,科大讯飞,7738710.540757,6738111.549533,1.59205
SH600185,格力地产,2382621.69308,2382621.69308,4.47547
SZ002581,未名医药,1752917.452002,1064902.114777,10.00437
SZ002624,完美世界,6647365.3436,6133994.8651,1.73544
SZ300115,长盈精密,1979855.930112,1970521.031552,5.39771
SZ002236,大华股份,5688204.99022,3543843.520576,2.99597
SZ002402,和而泰,1458895.505088,1273866.239184,8.32099
SH688318,财富趋势,1855426.1,428295.21185,24.54776
SZ000009,中国宝安,2004049.250805,1976561.254983,5.31453
SZ000938,紫光股份,8602711.679356,8602711.679356,1.20505
SH600459,贵研铂业,1220329.934668,1220329.934668,8.47042
SH601398,工商银行,185331253.68628,140198350.52028,0.07366
SZ002352,顺丰控股,24779306.84548,24407277.169616,0.41957
SH600183,生益科技,6671516.81754,6671516.81754,1.50542
SZ300601,康泰生物,10139186.565049,5488098.153281,1.80665
SZ002821,凯莱英,5290514.276702,5086333.14975,1.94371
SH600547,山东黄金,10938529.449328,8294267.013196,1.1832
SH603392,万泰生物,6919822.4,695812.4,14.03901
SZ000776,广发证券,10600932.940624,8233734.426424,1.18458
SH601231,环旭电子,4689759.1595,4689759.1595,2.07215
SZ002156,通富微电,2714666.857916,2714195.634371,3.55915
SZ002279,久其软件,543398.7436,466112.184248,20.68533
SZ300502,新易盛,1929979.5823,1394895.61189,6.87252
SZ002157,正邦科技,4265599.345704,3794190.030768,2.524
SH601211,国泰君安,14965353.59424,12627083.93184,0.7574
SZ002174,游族网络,2009727.213078,1498191.498258,6.3828
SH603825,华扬联众,808289.307,331747.6855,28.66777
SZ002304,洋河股份,16319173.052,13524766.646846,0.70063
SH605168,三人行,1844080.89,461020.89,20.4141
SH601601,中国太保,25355476,17590186.6,0.53234
SZ300063,天龙集团,539281.404,430835.94,21.53954
SZ002465,海格通信,3028045.553694,2871696.255948,3.23098
SH600690,海尔智家,11520821.163877,11046275.697154,0.83416
SZ002382,蓝帆医疗,2806294.491346,1864103.498918,4.93811
SZ002123,梦网集团,1586635.179575,1292836.29907,7.07579
SH603005,晶方科技,2209378.549427,2209378.549427,4.13801
SH600104,上汽集团,21322316.991125,21322316.991125,0.42551
SZ300236,上海新阳,1774411.63218,1746089.493225,5.1947
SZ002065,东华软件,3573458.284125,3220326.535433,2.80959
SZ300326,凯利泰,2015658.016404,1990001.000324,4.52682
SH601555,东吴证券,3170383.947836,3170383.947836,2.83733
SZ300073,当升科技,1434197.586532,1413796.570668,6.35715
SZ000799,酒鬼酒,1891086.6636,1891086.6636,4.75247
SZ300083,劲胜智能,817065.065828,704133.699924,12.72783
SZ002916,深南电路,7766049.984,2269770.383408,3.92205
SZ002797,第一创业,2455182.4,2455182.4,3.58203
SH600588,用友网络,12744733.546133,12693254.312088,0.69199
SH600809,XD山西汾,12011402.562012,11933120.802012,0.73537
SH688106,金宏气体,1828842.9184,384609.35104,22.73725
SH600037,XD歌华有,2064006.601972,2064006.601972,4.21376
SZ300299,富春股份,586410.763125,513241.24335,16.81076
SZ300529,健帆生物,5184379.239,2989029.004,2.88062
SH603288,海天味业,38687651.460312,38687651.460312,0.22237
SH600536,中国软件,3816540.988694,3816540.988694,2.23927
SH600498,烽火通信,3521150.794438,3328566.171393,2.55245
SZ300677,英科医疗,2464370.776,1490673.464,5.69653
SZ000538,云南白药,11781490.792691,5553640.877297,1.52382
SZ002463,沪电股份,4216933.952535,4127860.592745,2.04971
SH601899,紫金矿业,10556940.137536,8170373.097536,1.03515
SH603290,斯达半导,2825600,706400,11.86539
SZ300285,国瓷材料,2947823.64054,2307683.90502,3.57736
SZ002602,世纪华通,8518129.92288,3546395.098704,2.31255
SZ002079,苏州固锝,932531.474847,930272.508207,8.80949
SH600211,西藏药业,1565727.478545,1565727.478545,5.23093
SZ300498,温氏股份,13761058.933504,10369336.098218,0.78541
SH600436,片仔癀,9556544.6064,9556544.6064,0.8476
SZ002103,广博股份,400170.441797,270457.395684,29.92006
SH688012,中微公司,11387751.887967,1094740.041852,7.33339
SZ300558,贝达药业,4808391,4798631.668992,1.67132
SH601668,中国建筑,21444151.542121,21080591.053284,0.38037
SZ002223,鱼跃医疗,3432481.004896,2968113.731904,2.69483
SZ300223,北京君正,4507504.954425,1267230.224304,6.29521
SH600999,招商证券,11878052.740317,10139801.448177,0.78284
