==============================================================
List on u20hp02.pve3700
--------------------------------------------------------------
symbol	name	mktcap	nmc	turnover	located0624	activity
SH600233	圆通速递	5148570.869	5137487.432	1.39558		7169774.711
SH603993	洛阳钼业	8186112.181	6695327.809	1.07699		7210801.097
SH600415	小商品城	3037313.51	3037313.51	3.60339		10944625.13

Symbol,Name,2020-5-15日交易量亿元
SZ159995,芯片ETF,23.53
SH510300,300ETF,21.29
SH510500,500ETF,12.33
SH510900,H股ETF,12.11
SH518880,黄金ETF,11.85
SH515050,5GETF,11.76
SH510050,50ETF,10.19
SZ159919,300ETF,8.92
SH512880,证券ETF,7.1
SZ159920,恒生ETF,5.74
SZ159934,黄金ETF,4.23
SZ159949,创业板50,4.1
SH512000,券商ETF,3.95
SZ159994,5GETF,3.89
SH515000,科技ETF,3.81
SH510310,HS300ETF,2.32
SZ159922,500ETF,1.35
SH515880,通信ETF,1.31
SZ159968,ZZ500ETF,1.26
# SH511010,国债ETF,1.24
SZ159811,5G50ETF,1.19
SH512170,医疗ETF,1.12
SH512660,军工ETF,1.1
SH513100,纳指ETF,1.03
SZ159901,深100ETF,0.97
#additional
SZ159952,创业ETF
SH512760,半导体ETF
SH512930，AIETF
