sz159948,创业板EF,1.762,1.757,1.785,1.788,1.755,1.784,1.785,1530900,2713433.500,150000,1.784,150000,1.783,100,1.777,3000,1.772,6700,1.767,153500,1.785,160000,1.787,160000,1.788,4000,1.790,800,1.793,2019-09-19,15:00:03,00";
sz159949,创业板50,0.595,0.593,0.602,0.604,0.594,0.602,0.603,400587408,239698366.064,1798225,0.602,6656100,0.601,2135100,0.600,502200,0.599,1811200,0.598,11276323,0.603,2250700,0.604,4553600,0.605,2722400,0.606,1468800,0.607,2019-09-19,15:00:03,00";
sz159952,创业ETF,0.976,0.973,0.988,0.990,0.971,0.987,0.988,39040652,38310389.149,67600,0.987,691500,0.986,315900,0.985,31000,0.983,10200,0.982,531800,0.988,126500,0.989,116600,0.990,174000,0.991,445800,0.992,2019-09-19,15:00:03,00";
sz159953,工业ETF,0.742,0.750,0.757,0.757,0.742,0.745,0.757,27700,20706.800,6000,0.745,2000,0.744,100,0.741,600,0.738,100,0.737,3800,0.757,9000,0.758,2300,0.762,100,0.800,0,0.000,2019-09-19,15:00:03,00";
sz159954,H股ETF,0.997,0.998,0.990,0.997,0.989,0.989,0.990,2056814,2040881.802,239900,0.989,244100,0.988,235900,0.987,469200,0.986,541900,0.985,62000,0.990,345300,0.991,258600,0.992,236500,0.993,30700,0.997,2019-09-19,15:00:03,00";
sz159955,创业板E,0.907,0.904,0.919,0.919,0.903,0.912,0.919,999500,908846.200,5000,0.912,16300,0.909,4000,0.908,100,0.907,300,0.885,370100,0.919,242000,0.920,200,0.923,4000,0.924,10000,0.926,2019-09-19,15:00:03,00";
sz159956,创业板F,0.961,0.950,0.967,0.967,0.961,0.906,0.969,25200,24282.000,20300,0.906,600,0.905,280000,0.892,500,0.888,0,0.000,20000,0.969,16000,0.970,10000,0.971,10400,0.972,10000,0.973,2019-09-19,15:00:03,00";
sz159957,创业板HX,1.000,0.997,1.006,1.016,0.995,1.006,1.013,918301,917716.095,10000,1.006,5000,1.005,30000,1.003,12000,0.999,100,0.991,5800,1.013,35600,1.014,30000,1.015,119800,1.016,130079,1.030,2019-09-19,15:00:03,00";
sz159958,创业板ET,0.977,0.977,0.993,0.993,0.976,0.991,0.993,2243012,2205172.396,300000,0.991,281600,0.990,300000,0.989,5500,0.987,200,0.986,285000,0.993,305000,0.994,330000,0.995,18000,0.998,51600,0.999,2019-09-19,15:00:03,00";
sz159959,央企ETF,1.072,1.062,1.070,1.072,1.057,1.068,1.070,7788203,8287647.580,256000,1.068,173600,1.067,100000,1.066,759200,1.065,500000,1.064,340600,1.070,500,1.071,25000,1.072,100,1.079,50000,1.081,2019-09-19,15:00:03,00";
