http://www.shdjt.com/flsort.asp?lb=993505
序	股票代码	股票名称	行业	最新	涨幅↓	市值亿元	市盈率%	涨幅3日%	涨幅半年	净额万元	ddx	ddy	ddz	主动率	通吃率	ddx红	特大差	大单差	中单差	小单差	活跃度	单数比	特大买入	特大卖出	大单买入	大单卖出	中单买入	中单卖出	小单买入	小单卖出	换手率	量比
21	002460	赣锋锂业 点评	有色金属	36.38	2.59%	291	107	71.28	49.71	3281	.11	-.07	.85	7.27	1.7	4	1	6.1	-4.4	-1.1	-0.6	102	0.98	20.8	14.7	31.0	35.4	28.9	30.0	19.3	19.9	6.70	1.10
22	603993	洛阳钼业 点评	金属采选	4.48	2.52%	791	58	2.28	11.44	10288	.13	.01	24.06	8.05	7.4	1	1	9.2	-1.8	-2.3	-5.1	138	1.27	36.3	27.1	36.2	38.0	13.1	15.4	14.4	19.5	1.76	1.15
23	601238	广汽集团 点评	汽车制造	12.25	2.51%	745	15	5.42	5.97	535	.01	-.01	-16.26	18.72	1.7	1	1	-3.5	5.2	-2	0.3	113	0.73	5.0	8.5	52.3	47.1	14.5	16.5	28.2	27.9	0.42	1.48
24	300408	三环集团 点评	电子设备	23.77	2.46%	392	47	17.27	23.1	-1120	-.03	.06	2.99	10.03	-1.8	3	0	-8	6.2	3.7	-1.9	108	1.09	14.8	22.8	38.3	32.1	30.6	26.9	16.3	18.2	1.56	2.44
25	000423	东阿阿胶 点评	医药制造	36.38	2.36%	238	85	15.86	-7.17	2830	.12	.18	21.91	11.2	11.9	2	1	-1.6	13.5	-.6	-11.3	68	1.33	7.8	9.4	32.2	18.7	36.1	36.7	23.9	35.2	1.00	1.72
26	002050	三花智控 点评	通用设备	18.02	2.33%	436	35	49.17	60.32	-1503	-.04	.14	10.79	11.89	-3.5	5	0	-4	.5	5.1	-1.6	100	1.33	16.1	20.1	32.0	31.5	32.9	27.8	19.0	20.6	0.99	1.10
27	300413	芒果超媒 点评	文体传媒	39.35	2.31%	328	54	42.18	73.75	-4241	-.13	-.26	-22.93	5.91	-4.3	5	0	-8.6	4.3	-1.2	5.5	119	0.74	20.9	29.5	36.3	32.0	24.3	25.5	18.5	13.0	3.01	2.20
28	002624	完美世界 点评	互联网	49.67	2.31%	576	33	78.09	93.12	10735	.19	.09	14.1	-4.05	9.4	4	1	6.3	3.1	-8.2	-1.2	104	1.09	22.9	16.6	33.8	30.7	28.2	36.4	15.1	16.3	2.00	1.50
29	601108	财通证券 点评	金融服务	11.50	2.31%	277	31	15.46	5.5	7693	.28	.17	9.79	5.34	4	6	1	3.7	.3	-1.2	-2.8	145	1.08	23.8	20.1	50.7	50.4	11.6	12.8	13.9	16.7	6.91	1.06
30	600271	航天信息 点评	电子设备	23.72	2.29%	439	29	7.14	.47	-285	-.01	-.07	-9.14	28.5	-.6	4	0	.8	-1.4	-4.4	5.0	115	0.86	15.1	14.3	42.3	43.7	14.3	18.7	28.3	23.3	1.09	0.96
31	300433	蓝思科技 点评	电子设备	15.16	2.29%	627	43	60.93	114.28	11776	.19	.09	12.94	4.21	10	7	1	8.2	1.8	-6.6	-3.4	95	1.06	19.1	10.9	33.6	31.8	27.3	33.9	20.0	23.4	1.90	1.53
32	601212	白银有色 点评	有色金属	3.77	2.17%	74	2660	-12.53	-11.29	2676	.36	.24	26.96	19.49	15.8	4	1	10.3	5.5	-1	-14.8	97	1.25	15.3	5.0	40.9	35.4	16.5	17.5	27.3	42.1	2.30	1.21
33	600867	通化东宝 点评	医药制造	13.16	2.09%	268	29	-24.37	-14.55	0	0	.03	1.86	4.92	0	4	0	.7	-.7	.4	-0.4	119	1.03	14.7	14.0	44.9	45.6	17.4	17.0	23.0	23.4	3.18	1.11
34	000413	东旭光电 点评	电子设备	3.46	2.06%	168	13	1.76	-33.46	136	.01	-.04	-3.36	12.82	.2	1	1	-1.6	1.8	-.6	0.4	60	0.89	7.3	8.9	22.6	20.8	33.4	34.0	36.7	36.3	4.04	1.04
35	600028	中国石化 点评	石油开采	5.27	1.93%	5036	11	3.74	-1.13	18529	.04	0	71.87	-4.24	21.4	1	1	6.6	14.8	-5	-16.4	142	1.89	32.2	25.6	49.7	34.9	9.3	14.3	8.8	25.2	0.17	2.14
36	601601	中国太保 点评	保险业	39.62	1.90%	2491	12	3.58	13.04	15759	.06	.01	50.75	1.42	12.5	1	1	5.3	7.2	-3	-9.5	144	1.65	23.7	18.4	54.4	47.2	10.3	13.3	11.6	21.1	0.50	1.40
